annotation_text,annotated_quote,annotation_location,category
"Hermione providing aid to her King and husband, almost used as an accessory. ","Tongue-tied, our queen?
  Speak you.",Act 1 Scene 2,Gender
"Everyone is playing, but Leontes is the only one who isn't having fun. The actor's themselves are also playing a part, in a play. ","Go play, boy, play. Thy mother plays, and I 
[235]  Play too,",Act 1 Scene 2,None
"I thought it was strange how Leontes asks Mamillius if he is his son, as if he would know. He doesn't ask anyone else except the only person who wouldn't actually know the truth. ","Mamillius,
  Art thou my boy?",Act 1 Scene 2,Class
It's the giving of hands that leads to the play's resolution as well as it's conflict.,Give me that hand of yours to kiss.,Act 5 Scene 3,Class
"I think this line is very important. Leontes is eager to forgive his mistakes, but Paulina reminds him that he is responsible for Hermione's death. ",You kill her double,Act 5 Scene 3,Gender
"It seems very wrong to me that Leontes should have the last words of the play, but then again the whole play is centered around Leonte's mistakes and how he absolves himself of the guilt for committing atrocities for no real reason. ""Hastily"" stands out to me because it is a very nice way to describe Leonte's overall rushing and irrational behavior.",Hastily lead away.,Act 5 Scene 3,Class
"This is such an understatement. While Leontes says he is not ready to forget what he did to Hermione, he is very much mitigating his involvement in her death.",My blemishes,Act 5 Scene 1,Gender
"I find this interaction interesting. From past experience where Leontes would not believe and uphold the word of the Oracle, why should Paulina believe he will keep his word?","Then, good my lords, bear witness to his oath.",Act 5 Scene 1,None
These lines reminded me of a riddle you'd maybe see in some sort of fairytale - almost Rumplestiltskin-like in the way Time asks the audience to guess who they are before revealing themselves,"I, that please some, try all—both joy and terror
  Of good and bad, that makes and unfolds error—",Act 4 Scene 1,Class
"The way time speaks of its power here reminded me of the way time has felt during COVID. Sometimes months at a time can feel like they fly by in days and other times, days feel like they drag on like months. I think, much like in the play, this pandemic has really impacted the way we've all experienced the passage of times.","[5]  To me or my swift passage that I slide
  O’er sixteen years, and leave the growth untried
  Of that wide gap, since it is in my power
  To o’erthrow law and in one self-born hour",Act 4 Scene 1,Pandemics
"This line specifically really brought images of the emotions of the pandemic to my mind. Oftentimes right now, life can feel like we're just sleeping through it. And much like the play, you wake up to see chaos has broken loose and a million things are happening, all out of your own control.",As you had slept between.,Act 4 Scene 1,Pandemics
"I'm really intrigued by Shakespeare's decision to simply tell the audience of Leontes' mourning and character growth rather than actually showing it to the audience onstage. I'm wondering if this was effective in gaining the audience's trust and ability to 'root' for Leontes as a character, especially given they certainly witnessed his character flaws in the first part of the play. And even more so, would this have worked if Leontes was a woman instead? Would the audience have been more or less forgiving of her?","I turn my glass and give my scene such growing
  As you had slept between. Leontes leaving,
  Th’ effects of his fond jealousies so grieving
  That he shuts up himself,",Act 4 Scene 1,Gender
